Customer_ID,Age,Annual_Income,Loan_Amount,Debt_Ratio,Monthly_Income,Number_of_Open_Credit_Lines,Number_of_Late_Payments,Credit_Utilization_%,Defaults
10001,59,66815,26493,0.29,8817,4,7,98.92,0
10002,49,103482,18585,0.44,3380,14,6,94.4,1
10003,35,20639,30595,0.8,3048,8,7,30.17,0
10004,63,83593,8131,0.77,1881,13,7,88.76,1
10005,28,138948,44382,0.85,3135,12,9,34.05,1
10006,41,98038,27197,0.35,10376,4,9,60.74,1
10007,59,123494,34527,0.41,11976,12,5,80.38,0
10008,39,113899,22957,0.11,8917,3,8,40.97,0
10009,43,23736,31936,0.85,4137,5,2,59.96,0
10010,31,142434,22545,0.36,7070,4,9,50.53,0
10011,31,36473,14684,0.42,6349,12,0,78.42,0
10012,44,148771,43448,0.83,7550,5,8,53.08,0
10013,56,145801,21642,0.52,3451,9,9,61.02,0
10014,60,54019,5371,0.55,11137,14,9,86.1,1
10015,44,127598,13651,0.24,7445,11,1,72.88,1
10016,23,106623,2665,0.5,1520,3,2,57.48,0
10017,42,135036,7918,0.83,2509,14,3,51.52,0
10018,22,114025,24007,0.55,9279,2,7,21.41,0
10019,44,56820,32408,0.3,8640,2,8,15.07,1
10020,64,104861,11194,0.12,6787,14,2,95.75,0
10021,50,77589,26035,0.37,10773,9,1,26.79,1
10022,58,85807,24816,0.56,4148,7,1,34.92,0
10023,22,38414,24066,0.13,9324,10,8,64.99,0
10024,41,147378,12213,0.59,6352,12,7,84.51,0
10025,53,44220,49513,0.52,6885,4,1,84.98,1
10026,32,80531,23612,0.73,3952,6,7,84.67,1
10027,42,130002,23211,0.12,8008,10,3,98.03,0
10028,64,134193,27866,0.72,10076,6,5,15.01,0
10029,45,62425,41404,0.52,5604,3,4,45.99,1
10030,69,29387,32599,0.4,9036,9,4,92.22,0
10031,47,134680,8344,0.87,7952,4,9,52.06,0
10032,62,96815,4201,0.23,3717,1,9,88.42,1
10033,48,47584,5752,0.53,1646,2,6,11.59,1
10034,36,64783,43343,0.36,3426,5,7,55.39,1
10035,35,59809,11327,0.52,5254,14,4,93.02,1
10036,67,74327,49659,0.54,9771,14,3,33.52,0
10037,64,144494,46797,0.17,8095,8,1,93.67,0
10038,23,135814,7091,0.63,11451,7,4,10.76,1
10039,57,139067,28608,0.61,2477,9,7,17.1,0
10040,27,127012,29285,0.72,6402,1,0,52.91,0
10041,41,30857,23998,0.17,7552,2,5,19.57,0
10042,29,62261,49634,0.34,4304,10,1,30.3,0
10043,59,93588,41289,0.62,9079,4,1,36.78,0
10044,38,36995,23943,0.21,11277,7,7,53.33,0
10045,24,135437,49178,0.64,5890,13,5,45.15,0
10046,45,33580,19007,0.15,10845,13,5,92.99,1
10047,34,38240,26257,0.37,7512,1,5,89.74,0
10048,29,143279,20518,0.78,7383,5,8,77.33,1
10049,46,103446,30784,0.72,6784,2,2,69.34,0
10050,22,95752,39588,0.62,10304,14,1,28.39,0
10051,40,124533,45221,0.8,11502,2,4,64.16,0
10052,48,143199,22378,0.67,5078,2,5,23.24,0
10053,67,66111,5696,0.52,5664,9,8,50.74,0
10054,27,110447,28995,0.88,6151,11,8,51.54,1
10055,64,54866,35635,0.66,4456,10,1,72.07,0
10056,28,100974,16723,0.58,7281,5,8,85.16,0
10057,67,93401,20207,0.43,4706,8,8,38.85,0
10058,55,102093,28524,0.82,2329,13,5,13.71,1
10059,34,32211,29554,0.34,6097,10,0,14.23,1
10060,37,78985,12817,0.11,10665,6,7,88.73,0
10061,56,53268,1168,0.26,10421,11,7,53.77,0
10062,60,23646,43981,0.19,10592,1,7,32.32,0
10063,24,75371,27770,0.36,2159,10,7,12.91,0
10064,22,137051,16223,0.76,9305,9,9,57.59,0
10065,26,62816,45220,0.62,2260,7,4,22.34,0
10066,62,109460,9027,0.24,10023,11,1,47.53,0
10067,24,64112,17291,0.73,2458,2,8,56.45,0
10068,49,71048,44409,0.5,11450,14,5,30.63,1
10069,38,74911,26439,0.51,7340,8,2,27.9,0
10070,46,95446,22521,0.39,8299,2,0,11.78,0
10071,64,21778,25715,0.79,5908,2,4,62.7,0
10072,54,65752,22618,0.35,3355,4,3,28.04,0
10073,30,104977,29999,0.18,1854,8,3,89.04,1
10074,56,147707,33992,0.34,7121,7,8,64.34,0
10075,34,90726,42517,0.67,3772,2,5,60.08,0
10076,51,100840,40350,0.63,5694,10,7,55.42,0
10077,68,125301,2573,0.25,6390,6,8,29.38,0
10078,35,47289,9577,0.19,4662,11,0,97.25,0
10079,28,64788,9712,0.63,5380,11,6,97.03,1
10080,34,24747,30948,0.64,8017,4,6,38.91,0
10081,43,94822,40531,0.39,9895,10,8,79.86,0
